timestamp,latitude,longitude,altitude,v_north,v_east,v_down,a_north,a_east,a_down
0.0,39.9087,116.3975,100.0,0.0,0.0,0.0,0,2.0,0
0.0,39.9087,116.3975117241484,100.0,0.0,2.0,0.0,0,2.0,0
0.0,39.9087,116.39754689659364,100.0,0.0,4.0,0.0,0,2.0,0
0.0,39.9087,116.39760551733569,100.0,0.0,6.0,0.0,0,2.0,0
0.0,39.9087,116.39768758637457,100.0,0.0,8.0,0.0,0,2.0,0
0.0,39.9087,116.39779310371027,100.0,0.0,10.0,0.0,0,2.0,0
0.0,39.9087,116.39792206934278,100.0,0.0,12.0,0.0,0,2.0,0
0.0,39.9087,116.39807448327213,100.0,0.0,14.0,0.0,0,2.0,0
0.0,39.9087,116.39825034549828,100.0,0.0,16.0,0.0,0,2.0,0
0.0,39.9087,116.39844965602127,100.0,0.0,18.0,0.0,0,2.0,0
0.0,39.9087,116.39867241484107,100.0,0.0,20.0,0.0,0,2.0,0
0.0,39.9087,116.3989186219577,100.0,0.0,22.0,0.0,0,2.0,0
0.0,39.9087,116.39918827737115,100.0,0.0,24.0,0.0,0,2.0,0
0.0,39.9087,116.39948138108143,100.0,0.0,26.0,0.0,0,2.0,0
0.0,39.9087,116.39979793308852,100.0,0.0,28.0,0.0,0,2.0,0
0.0,39.9087,116.40013793339243,100.0,0.0,30.0,0.0,0,2.0,0
0.0,39.9087,116.40050138199317,100.0,0.0,32.0,0.0,0,2.0,0
0.0,39.9087,116.40088827889072,100.0,0.0,34.0,0.0,0,2.0,0
0.0,39.9087,116.4012986240851,100.0,0.0,36.0,0.0,0,2.0,0
0.0,39.9087,116.4017324175763,100.0,0.0,38.0,0.0,0,2.0,0
0.0,39.9087,116.40218965936432,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40265862530076,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.4031275912372,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40359655717363,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40406552311006,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.4045344890465,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40500345498293,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40547242091937,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.4059413868558,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40641035279224,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40687931872867,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.4073482846651,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40781725060154,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40828621653797,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40875518247441,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40922414841084,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.40969311434728,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41016208028371,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41063104622015,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41110001215658,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41156897809302,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41203794402945,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41250690996588,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41297587590232,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41344484183875,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41391380777519,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41438277371162,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41485173964806,100.0,0.0,40.0,0.0,0,0,0
0.0,39.9087,116.41532070558449,100.0,0.0,40.0,0.0,0,0,0
